DPTO.REDCODEN (Departamento),VIVIENDA.URP (Área urbano rural),0. __tot__,1. Mujer,2. Mujer trans/travesti,3. Varón,4. Varón trans/masculinidad trans,5. No binario,6. Otra identidad/ninguna de las anteriores,7. Prefiero no contestar,9. Ignorado,0. __mv__,0. __na__,
6466. Lezama,2. Rural agrupada,43,21,,19,,,,,3,,,
6466. Lezama,3. Rural dispersa,612,260,2,326,1,,,,23,,,
6469. Lincoln,0. __tot__,45191,21952,61,20912,84,57,24,55,2046,,,
6469. Lincoln,1. Urbana,35305,17309,50,15925,77,54,23,50,1817,,,
6469. Lincoln,2. Rural agrupada,7378,3553,5,3655,4,2,,3,156,,,
6469. Lincoln,3. Rural dispersa,2508,1090,6,1332,3,1,1,2,73,,,
6476. Lobería,0. __tot__,18106,8664,23,8569,20,9,4,11,806,,,
6476. Lobería,1. Urbana,14215,6988,21,6554,13,8,4,9,618,,,
6476. Lobería,2. Rural agrupada,1832,866,2,883,1,,,,80,,,
6476. Lobería,3. Rural dispersa,2059,810,,1132,6,1,,2,108,,,
6483. Lobos,0. __tot__,41418,20160,58,18709,64,16,13,41,2357,,,
6483. Lobos,1. Urbana,35719,17614,51,16053,47,16,9,35,1894,,,
6483. Lobos,2. Rural agrupada,2678,1256,3,1259,7,,2,4,147,,,
6483. Lobos,3. Rural dispersa,3021,1290,4,1397,10,,2,2,316,,,
6490. Lomas de Zamora,0. __tot__,685644,336667,992,312608,954,436,245,951,32791,,,
6490. Lomas de Zamora,1. Urbana,685644,336667,992,312608,954,436,245,951,32791,,,
6497. Luján,0. __tot__,110111,54080,212,50259,298,124,64,163,4911,,,
6497. Luján,1. Urbana,105756,52109,180,48241,284,119,58,142,4623,,,
6497. Luján,2. Rural agrupada,2048,961,14,919,5,3,4,6,136,,,
6497. Luján,3. Rural dispersa,2307,1010,18,1099,9,2,2,15,152,,,
6505. Magdalena,0. __tot__,22653,10259,30,10029,130,24,17,62,2102,,,
6505. Magdalena,1. Urbana,17896,8345,24,7898,93,16,11,34,1475,,,
6505. Magdalena,2. Rural agrupada,2291,859,3,860,35,7,5,25,497,,,
6505. Magdalena,3. Rural dispersa,2466,1055,3,1271,2,1,1,3,130,,,
6511. Maipú,0. __tot__,11253,5642,20,5149,15,4,4,9,410,,,
6511. Maipú,1. Urbana,9966,5072,19,4504,9,4,4,9,345,,,
6511. Maipú,2. Rural agrupada,628,307,,291,2,,,,28,,,
6511. Maipú,3. Rural dispersa,659,263,1,354,4,,,,37,,,
6515. Malvinas Argentinas,0. __tot__,349401,166555,468,158478,729,241,115,442,22373,,,
6515. Malvinas Argentinas,1. Urbana,349401,166555,468,158478,729,241,115,442,22373,,,
6518. Mar Chiquita,0. __tot__,32973,15561,30,15161,78,24,10,50,2059,,,
6518. Mar Chiquita,1. Urbana,27415,13139,21,12639,52,22,5,37,1500,,,
6518. Mar Chiquita,2. Rural agrupada,3911,1716,5,1700,20,2,5,7,456,,,
6518. Mar Chiquita,3. Rural dispersa,1647,706,4,822,6,,,6,103,,,
6525. Marcos Paz,0. __tot__,64761,31215,85,30071,89,37,21,70,3173,,,
6525. Marcos Paz,1. Urbana,61494,29715,79,28440,85,36,21,69,3049,,,
6525. Marcos Paz,2. Rural agrupada,1798,843,2,903,1,1,,,48,,,
