DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6140. Capitán Sarmiento,5. No binario,7,6,1,,,
6140. Capitán Sarmiento,6. Otra identidad/ninguna de las anteriores,4,4,,,,
6140. Capitán Sarmiento,7. Prefiero no contestar,11,9,2,,,
6140. Capitán Sarmiento,9. Ignorado,522,483,39,,,
6147. Carlos Casares,0. __tot__,22905,21001,1904,,,
6147. Carlos Casares,1. Mujer,11421,10513,908,,,
6147. Carlos Casares,2. Mujer trans/travesti,18,17,1,,,
6147. Carlos Casares,3. Varón,10885,9935,950,,,
6147. Carlos Casares,4. Varón trans/masculinidad trans,15,12,3,,,
6147. Carlos Casares,5. No binario,7,7,,,,
6147. Carlos Casares,6. Otra identidad/ninguna de las anteriores,4,4,,,,
6147. Carlos Casares,7. Prefiero no contestar,15,13,2,,,
6147. Carlos Casares,9. Ignorado,540,500,40,,,
6154. Carlos Tejedor,0. __tot__,14007,12321,1686,,,
6154. Carlos Tejedor,1. Mujer,5914,5337,577,,,
6154. Carlos Tejedor,2. Mujer trans/travesti,71,57,14,,,
6154. Carlos Tejedor,3. Varón,5890,5308,582,,,
6154. Carlos Tejedor,4. Varón trans/masculinidad trans,128,100,28,,,
6154. Carlos Tejedor,5. No binario,23,17,6,,,
6154. Carlos Tejedor,6. Otra identidad/ninguna de las anteriores,17,12,5,,,
6154. Carlos Tejedor,7. Prefiero no contestar,23,14,9,,,
6154. Carlos Tejedor,9. Ignorado,1941,1476,465,,,
6161. Carmen de Areco,0. __tot__,17345,15808,1537,,,
6161. Carmen de Areco,1. Mujer,8312,7626,686,,,
6161. Carmen de Areco,2. Mujer trans/travesti,32,28,4,,,
6161. Carmen de Areco,3. Varón,8142,7397,745,,,
6161. Carmen de Areco,4. Varón trans/masculinidad trans,25,22,3,,,
6161. Carmen de Areco,5. No binario,7,6,1,,,
6161. Carmen de Areco,6. Otra identidad/ninguna de las anteriores,10,9,1,,,
6161. Carmen de Areco,7. Prefiero no contestar,17,15,2,,,
6161. Carmen de Areco,9. Ignorado,800,705,95,,,
6168. Castelli,0. __tot__,9551,8672,879,,,
6168. Castelli,1. Mujer,4525,4134,391,,,
6168. Castelli,2. Mujer trans/travesti,11,10,1,,,
6168. Castelli,3. Varón,4378,3976,402,,,
6168. Castelli,4. Varón trans/masculinidad trans,20,19,1,,,
6168. Castelli,5. No binario,2,2,,,,
6168. Castelli,6. Otra identidad/ninguna de las anteriores,1,,1,,,
6168. Castelli,7. Prefiero no contestar,15,15,,,,
6168. Castelli,9. Ignorado,599,516,83,,,
6175. Colón,0. __tot__,27406,24622,2784,,,
6175. Colón,1. Mujer,13198,11899,1299,,,
6175. Colón,2. Mujer trans/travesti,46,40,6,,,
6175. Colón,3. Varón,12504,11239,1265,,,
6175. Colón,4. Varón trans/masculinidad trans,51,37,14,,,
6175. Colón,5. No binario,5,4,1,,,
6175. Colón,6. Otra identidad/ninguna de las anteriores,29,26,3,,,
6175. Colón,7. Prefiero no contestar,29,27,2,,,
6175. Colón,9. Ignorado,1544,1350,194,,,
6182. Coronel de Marina Leonardo Rosales,0. __tot__,65823,62274,3549,,,
6182. Coronel de Marina Leonardo Rosales,1. Mujer,31748,30100,1648,,,
6182. Coronel de Marina Leonardo Rosales,2. Mujer trans/travesti,85,77,8,,,
6182. Coronel de Marina Leonardo Rosales,3. Varón,29604,28117,1487,,,
6182. Coronel de Marina Leonardo Rosales,4. Varón trans/masculinidad trans,140,130,10,,,
6182. Coronel de Marina Leonardo Rosales,5. No binario,105,99,6,,,
6182. Coronel de Marina Leonardo Rosales,6. Otra identidad/ninguna de las anteriores,49,46,3,,,
6182. Coronel de Marina Leonardo Rosales,7. Prefiero no contestar,122,110,12,,,
6182. Coronel de Marina Leonardo Rosales,9. Ignorado,3970,3595,375,,,
6189. Coronel Dorrego,0. __tot__,15795,14407,1388,,,
6189. Coronel Dorrego,1. Mujer,7775,7089,686,,,
6189. Coronel Dorrego,2. Mujer trans/travesti,22,20,2,,,
6189. Coronel Dorrego,3. Varón,7415,6789,626,,,
6189. Coronel Dorrego,4. Varón trans/masculinidad trans,9,9,,,,
6189. Coronel Dorrego,5. No binario,7,7,,,,
6189. Coronel Dorrego,6. Otra identidad/ninguna de las anteriores,9,9,,,,
6189. Coronel Dorrego,7. Prefiero no contestar,29,24,5,,,
6189. Coronel Dorrego,9. Ignorado,529,460,69,,,
6196. Coronel Pringles,0. __tot__,24110,21881,2229,,,
6196. Coronel Pringles,1. Mujer,11756,10763,993,,,
6196. Coronel Pringles,2. Mujer trans/travesti,29,25,4,,,
6196. Coronel Pringles,3. Varón,10896,9941,955,,,
6196. Coronel Pringles,4. Varón trans/masculinidad trans,38,32,6,,,
6196. Coronel Pringles,5. No binario,32,26,6,,,
6196. Coronel Pringles,6. Otra identidad/ninguna de las anteriores,7,4,3,,,
6196. Coronel Pringles,7. Prefiero no contestar,30,27,3,,,
6196. Coronel Pringles,9. Ignorado,1322,1063,259,,,
6203. Coronel Suárez,0. __tot__,41713,38129,3584,,,
6203. Coronel Suárez,1. Mujer,20518,18766,1752,,,
6203. Coronel Suárez,2. Mujer trans/travesti,48,41,7,,,
6203. Coronel Suárez,3. Varón,19510,17902,1608,,,
6203. Coronel Suárez,4. Varón trans/masculinidad trans,34,31,3,,,
6203. Coronel Suárez,5. No binario,18,15,3,,,
6203. Coronel Suárez,6. Otra identidad/ninguna de las anteriores,16,14,2,,,
6203. Coronel Suárez,7. Prefiero no contestar,48,43,5,,,
6203. Coronel Suárez,9. Ignorado,1521,1317,204,,,
6210. Chacabuco,0. __tot__,52409,47802,4607,,,
6210. Chacabuco,1. Mujer,25818,23598,2220,,,
