DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6042. Ayacucho,2. Mujer trans/travesti,30,19,11,,,
6042. Ayacucho,3. Varón,10183,7948,2235,,,
6042. Ayacucho,4. Varón trans/masculinidad trans,25,14,11,,,
6042. Ayacucho,5. No binario,17,15,2,,,
6042. Ayacucho,6. Otra identidad/ninguna de las anteriores,7,4,3,,,
6042. Ayacucho,7. Prefiero no contestar,27,17,10,,,
6042. Ayacucho,9. Ignorado,858,620,238,,,
6049. Azul,0. __tot__,75152,59540,15612,,,
6049. Azul,1. Mujer,36038,29033,7005,,,
6049. Azul,2. Mujer trans/travesti,125,87,38,,,
6049. Azul,3. Varón,33753,26608,7145,,,
6049. Azul,4. Varón trans/masculinidad trans,164,111,53,,,
6049. Azul,5. No binario,151,107,44,,,
6049. Azul,6. Otra identidad/ninguna de las anteriores,56,44,12,,,
6049. Azul,7. Prefiero no contestar,108,85,23,,,
6049. Azul,9. Ignorado,4757,3465,1292,,,
6056. Bahía Blanca,0. __tot__,334505,292953,41552,,,
6056. Bahía Blanca,1. Mujer,162504,143402,19102,,,
6056. Bahía Blanca,2. Mujer trans/travesti,308,245,63,,,
6056. Bahía Blanca,3. Varón,150323,132119,18204,,,
6056. Bahía Blanca,4. Varón trans/masculinidad trans,535,433,102,,,
6056. Bahía Blanca,5. No binario,322,274,48,,,
6056. Bahía Blanca,6. Otra identidad/ninguna de las anteriores,158,135,23,,,
6056. Bahía Blanca,7. Prefiero no contestar,523,461,62,,,
6056. Bahía Blanca,9. Ignorado,19832,15884,3948,,,
6063. Balcarce,0. __tot__,48516,38420,10096,,,
6063. Balcarce,1. Mujer,23483,18788,4695,,,
6063. Balcarce,2. Mujer trans/travesti,68,47,21,,,
6063. Balcarce,3. Varón,22344,17725,4619,,,
6063. Balcarce,4. Varón trans/masculinidad trans,95,67,28,,,
6063. Balcarce,5. No binario,28,23,5,,,
6063. Balcarce,6. Otra identidad/ninguna de las anteriores,17,14,3,,,
6063. Balcarce,7. Prefiero no contestar,52,42,10,,,
6063. Balcarce,9. Ignorado,2429,1714,715,,,
6070. Baradero,0. __tot__,39223,30544,8679,,,
6070. Baradero,1. Mujer,18466,14723,3743,,,
6070. Baradero,2. Mujer trans/travesti,85,59,26,,,
6070. Baradero,3. Varón,17645,13817,3828,,,
6070. Baradero,4. Varón trans/masculinidad trans,206,134,72,,,
6070. Baradero,5. No binario,45,26,19,,,
6070. Baradero,6. Otra identidad/ninguna de las anteriores,45,29,16,,,
6070. Baradero,7. Prefiero no contestar,74,44,30,,,
6070. Baradero,9. Ignorado,2657,1712,945,,,
6077. Arrecifes,0. __tot__,32077,26789,5288,,,
6077. Arrecifes,1. Mujer,15957,13425,2532,,,
6077. Arrecifes,2. Mujer trans/travesti,35,27,8,,,
6077. Arrecifes,3. Varón,14900,12414,2486,,,
6077. Arrecifes,4. Varón trans/masculinidad trans,20,16,4,,,
6077. Arrecifes,5. No binario,6,5,1,,,
6077. Arrecifes,6. Otra identidad/ninguna de las anteriores,9,6,3,,,
6077. Arrecifes,7. Prefiero no contestar,37,29,8,,,
6077. Arrecifes,9. Ignorado,1113,867,246,,,
6084. Benito Juárez,0. __tot__,21185,16478,4707,,,
6084. Benito Juárez,1. Mujer,10017,7932,2085,,,
6084. Benito Juárez,2. Mujer trans/travesti,40,23,17,,,
6084. Benito Juárez,3. Varón,9618,7561,2057,,,
6084. Benito Juárez,4. Varón trans/masculinidad trans,47,33,14,,,
6084. Benito Juárez,5. No binario,25,16,9,,,
6084. Benito Juárez,6. Otra identidad/ninguna de las anteriores,10,8,2,,,
6084. Benito Juárez,7. Prefiero no contestar,28,24,4,,,
